31,173.7,41.75,0.721
46,172.1,64.59,0.142
37,159.2,53.51,0.471
40,170.8,71.69,0.759
55,269.1,83.53,3.943
64,303.1,55.36,5.027
39,188,45.8,0.616
49,212.7,64.88,6.927
38,155,49.7,5.443
48,218.1,109.35,1.657
52,283.9,68.36,0.48
31,162.3,48.88,7.623
48,228.3,47.63,1.646
55,275.2,45.93,0.437
45,228.9,68.12,2.92
77,249.7,75.63,4.386
31,152.1,51.71,0.223
28,131.1,33.79,32.876
15,56.5,33.68,0.08
61,214.7,43.34,0.172
60,251.9,99.97,12.543
41,223.1,65.57,3.257
61,258,69.92,1.051
47,224.1,42.86,2.035
49,191.1,53.39,5.99
45,144.8,59.87,0.544
52,237.7,82.86,8.048
45,177,43.25,5.692
98,491.6,128.31,1.869
20,140.3,66.08,2.664
69,279.6,65.11,0.779
21,130.7,37.8,0.553
21,130.4,29.36,1.116
34,130.3,30.65,9.355
40,185.9,74.53,1.396
39,191.3,60.39,1.016
54,264,55.26,0.46
51,258.1,62.23,0.365
58,288.6,62.22,2.067
78,372.7,55.57,9.521
67,277,35.32,12.684
18,100.5,30.2,4.634
71,208.4,66.96,1.258
61,220.1,58.94,1.152
25,156.3,31.15,3.461
44,183.5,35.2,8.16
44,214.5,48.22,8.624
87,470.2,89.41,0.083
42,167.4,40.83,1.865
33,135.8,51.24,0.469
48,200.8,54.29,0.986
48,236.2,56.81,27.004
44,198.5,38.82,0.623
31,128.4,36.32,0.16
19,76.2,35.32,2.608
49,210.8,48.73,1.659
17,85.6,30.43,1.072
23,106,58.8,7.481
69,286.9,90.39,4.676
35,138.6,61.35,3.515
40,207.6,93.94,1.32
61,185.4,91.29,3.381
37,180.9,54.55,1.292
63,311.4,113.83,2.644
36,149.7,38.78,4.75
63,274,58.73,3.329
55,260.8,106.17,0.729
39,165.2,56.98,0.894
26,130,38.74,0.42
22,123.5,39.96,8.927
38,152.5,46.71,1.923
34,190.6,43.69,0.747
35,202.1,43.14,5.528
62,289.9,60.29,0.93
37,177.1,39.04,3.905
66,234.9,70.44,19.455
33,171.7,39.28,8.164
62,222.6,99.07,1.573
33,207.9,48.28,1.686
46,233.8,73.83,36.556
62,286.2,66.69,1.548
35,156.5,46.47,3.142
34,114.3,64.37,3.261
82,284,119.85,8.008
62,289.6,69.35,2.762
34,250,71.92,3.464
56,283.2,72.52,3.243
36,181,53.02,112.917
57,231.6,112.84,7.443
71,312.5,110.46,0.537
81,405,103.19,0.322
63,266.1,77.28,0.177
72,426.4,66.27,31.604
44,165.6,53.57,0.586
77,309.4,125.63,8.858
46,214.1,34.3,4.454
19,70.5,26.92,0.203
22,122.9,33.18,41.572
36,176.1,50.66,4.58
57,258,41.83,30.672
49,257.1,67.78,3.344
51,276.9,73.04,2.618
32,176.7,35.2,0.434
46,195.1,53.12,2.116
47,215.9,42.81,2.457
28,147.7,61.79,0.204
27,108.4,43.97,1.944
53,201.2,58.67,2.555
43,185.1,42.96,0.678
20,106.8,34.14,3.703
43,270.3,82.6,0.324
29,165.9,45.5,0.846
30,136.2,46.86,2.343
60,238.8,50.02,0.807
45,271.2,58.57,3.765
51,367.3,73.61,1.161
60,274.9,48.01,0.539
47,197.3,75.9,8.089
54,190.6,116.56,4.92
56,297.7,43.96,4.712
66,302.8,42.87,5.589
52,288.5,60.69,9.091
71,262,90.91,8.841
43,210.3,53.63,2.104
42,175.7,51.51,1.018
77,405.7,79.2,1.694
33,145.3,35.05,12.806
43,196.9,36.02,0.332
61,254.3,101.47,0.858
46,250.7,61.07,9.565
71,328.4,55.81,7.115
63,234.6,91.55,0.951
49,199.9,42.65,1.467
28,115.2,39.61,1.583
54,265.4,76.02,1.323
16,90.2,22.95,0.051
48,165.9,53.38,1.054
59,189.2,67.22,3.18
47,215.1,94.11,79.084
60,300.4,75.99,0.223
83,360.8,75.55,0.771
61,207.8,64.64,1.122
48,169.6,54.64,0.487
56,288.7,89.12,0.728
51,227.1,56.85,0.112
17,85.6,24.5,1.69
35,209.1,50.32,0.919
67,255.2,70.93,4.462
42,201.3,65.43,2.18
